Starting Training Loop...
[0/1][0/1733]	Loss_D: 9.9247	Loss_G: -1.0447	
[0/1][50/1733]	Loss_D: 8.5289	Loss_G: 0.9110	
[0/1][100/1733]	Loss_D: 8.7553	Loss_G: 8.3612	
[0/1][150/1733]	Loss_D: 4.7873	Loss_G: 14.2703	
[0/1][200/1733]	Loss_D: 18.4093	Loss_G: 11.0242	
[0/1][250/1733]	Loss_D: 8.3045	Loss_G: -1.5853	
[0/1][300/1733]	Loss_D: 9.0067	Loss_G: -8.5416	
[0/1][350/1733]	Loss_D: 12.4212	Loss_G: 27.0872	
[0/1][400/1733]	Loss_D: 2.2831	Loss_G: 7.8923	
[0/1][450/1733]	Loss_D: 7.1401	Loss_G: 38.9031	
[0/1][500/1733]	Loss_D: 16.9212	Loss_G: 2.3609	
[0/1][550/1733]	Loss_D: 11.4787	Loss_G: 13.3057	
[0/1][600/1733]	Loss_D: 9.5666	Loss_G: 3.3303	
[0/1][650/1733]	Loss_D: 8.5043	Loss_G: -5.5939	
[0/1][700/1733]	Loss_D: 12.1031	Loss_G: 4.5076	
[0/1][750/1733]	Loss_D: 4.8945	Loss_G: -6.5949	
[0/1][800/1733]	Loss_D: -3.5525	Loss_G: 2.2997	
[0/1][850/1733]	Loss_D: 15.1195	Loss_G: -9.1231	
[0/1][900/1733]	Loss_D: 11.5080	Loss_G: 9.3397	
[0/1][950/1733]	Loss_D: 8.3645	Loss_G: 15.8800	
[0/1][1000/1733]	Loss_D: 3.4232	Loss_G: 19.9879	
[0/1][1050/1733]	Loss_D: 8.3549	Loss_G: 1.3460	
[0/1][1100/1733]	Loss_D: 18.3647	Loss_G: 6.6862	
[0/1][1150/1733]	Loss_D: 7.2913	Loss_G: 7.8400	
[0/1][1200/1733]	Loss_D: 8.9524	Loss_G: 11.8171	
[0/1][1250/1733]	Loss_D: 6.1723	Loss_G: 20.6539	
[0/1][1300/1733]	Loss_D: 8.4629	Loss_G: 14.2776	
[0/1][1350/1733]	Loss_D: 22.9616	Loss_G: 50.8712	
[0/1][1400/1733]	Loss_D: -1.9314	Loss_G: 26.1554	
[0/1][1450/1733]	Loss_D: 0.1821	Loss_G: -3.1395	
[0/1][1500/1733]	Loss_D: -3.0127	Loss_G: 20.3440	
[0/1][1550/1733]	Loss_D: -10.0900	Loss_G: -1.9774	
[0/1][1600/1733]	Loss_D: -1.5005	Loss_G: 25.0277	
[0/1][1650/1733]	Loss_D: -2.6000	Loss_G: -6.8793	
[0/1][1700/1733]	Loss_D: -13.5960	Loss_G: -9.3977	
Finished training!
