Starting Training Loop...
[0/20][0/434]	Loss_D: 1.8451	Loss_G: 3.7118	D(x): 0.3858	D(G(z)): 0.2884 / 0.0282
[0/20][50/434]	Loss_D: 0.4501	Loss_G: 62.0593	D(x): 0.9202	D(G(z)): 0.0000 / 0.0000
[0/20][100/434]	Loss_D: 0.0015	Loss_G: 60.0645	D(x): 0.9986	D(G(z)): 0.0000 / 0.0000
[0/20][150/434]	Loss_D: 0.0001	Loss_G: 58.7729	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[0/20][200/434]	Loss_D: 0.0002	Loss_G: 58.9230	D(x): 0.9998	D(G(z)): 0.0000 / 0.0000
[0/20][250/434]	Loss_D: 0.0001	Loss_G: 59.9410	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[0/20][300/434]	Loss_D: 0.0001	Loss_G: 58.1756	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[0/20][350/434]	Loss_D: 0.0001	Loss_G: 58.3590	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[0/20][400/434]	Loss_D: 0.0001	Loss_G: 57.7713	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[1/20][0/434]	Loss_D: 0.0001	Loss_G: 58.5858	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[1/20][50/434]	Loss_D: 0.0001	Loss_G: 57.2228	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[1/20][100/434]	Loss_D: 0.0000	Loss_G: 56.2391	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[1/20][150/434]	Loss_D: 2.8586	Loss_G: 6.2491	D(x): 0.7804	D(G(z)): 0.4427 / 0.0476
[1/20][200/434]	Loss_D: 0.2230	Loss_G: 3.3907	D(x): 0.9214	D(G(z)): 0.0885 / 0.0547
[1/20][250/434]	Loss_D: 2.0995	Loss_G: 1.6630	D(x): 0.8440	D(G(z)): 0.4251 / 0.3200
[1/20][300/434]	Loss_D: 3.3259	Loss_G: 2.4286	D(x): 0.1374	D(G(z)): 0.0272 / 0.1718
[1/20][350/434]	Loss_D: 0.2095	Loss_G: 3.5095	D(x): 0.9632	D(G(z)): 0.1432 / 0.0460
[1/20][400/434]	Loss_D: 1.4655	Loss_G: 9.1603	D(x): 0.8721	D(G(z)): 0.6048 / 0.0024
[2/20][0/434]	Loss_D: 1.9000	Loss_G: 9.8205	D(x): 0.9738	D(G(z)): 0.6922 / 0.0009
[2/20][50/434]	Loss_D: 1.4348	Loss_G: 1.6438	D(x): 0.4003	D(G(z)): 0.2294 / 0.3003
[2/20][100/434]	Loss_D: 1.8610	Loss_G: 2.8231	D(x): 0.8581	D(G(z)): 0.7049 / 0.1100
[2/20][150/434]	Loss_D: 1.1415	Loss_G: 1.8494	D(x): 0.5506	D(G(z)): 0.2869 / 0.2148
[2/20][200/434]	Loss_D: 2.1159	Loss_G: 1.9822	D(x): 0.1950	D(G(z)): 0.0498 / 0.1918
[2/20][250/434]	Loss_D: 1.7196	Loss_G: 2.0639	D(x): 0.2813	D(G(z)): 0.0361 / 0.1944
[2/20][300/434]	Loss_D: 0.8167	Loss_G: 2.7633	D(x): 0.7271	D(G(z)): 0.0678 / 0.1382
[2/20][350/434]	Loss_D: 0.4053	Loss_G: 5.4977	D(x): 0.9193	D(G(z)): 0.2255 / 0.0059
[2/20][400/434]	Loss_D: 0.4902	Loss_G: 2.4332	D(x): 0.7732	D(G(z)): 0.1565 / 0.1145
[3/20][0/434]	Loss_D: 0.7088	Loss_G: 3.2219	D(x): 0.8404	D(G(z)): 0.3530 / 0.0668
[3/20][50/434]	Loss_D: 0.9439	Loss_G: 7.3628	D(x): 0.9169	D(G(z)): 0.4969 / 0.0024
[3/20][100/434]	Loss_D: 1.1660	Loss_G: 5.9522	D(x): 0.8643	D(G(z)): 0.5401 / 0.0155
[3/20][150/434]	Loss_D: 0.4412	Loss_G: 3.3268	D(x): 0.8829	D(G(z)): 0.2387 / 0.0537
[3/20][200/434]	Loss_D: 1.8269	Loss_G: 2.6112	D(x): 0.2662	D(G(z)): 0.0158 / 0.1001
[3/20][250/434]	Loss_D: 2.3199	Loss_G: 7.8118	D(x): 0.8546	D(G(z)): 0.8214 / 0.0022
[3/20][300/434]	Loss_D: 0.3259	Loss_G: 3.7634	D(x): 0.9013	D(G(z)): 0.1739 / 0.0381
[3/20][350/434]	Loss_D: 0.6444	Loss_G: 2.8393	D(x): 0.6073	D(G(z)): 0.0373 / 0.0910
[3/20][400/434]	Loss_D: 0.3802	Loss_G: 2.9736	D(x): 0.8131	D(G(z)): 0.1259 / 0.0755
[4/20][0/434]	Loss_D: 1.0951	Loss_G: 1.6955	D(x): 0.4514	D(G(z)): 0.0674 / 0.2466
[4/20][50/434]	Loss_D: 1.1182	Loss_G: 1.1091	D(x): 0.4019	D(G(z)): 0.0287 / 0.4013
[4/20][100/434]	Loss_D: 0.7410	Loss_G: 2.6840	D(x): 0.8353	D(G(z)): 0.3742 / 0.1110
[4/20][150/434]	Loss_D: 1.2617	Loss_G: 4.7080	D(x): 0.9146	D(G(z)): 0.6438 / 0.0169
[4/20][200/434]	Loss_D: 0.9169	Loss_G: 2.8773	D(x): 0.8720	D(G(z)): 0.4641 / 0.0971
[4/20][250/434]	Loss_D: 0.9835	Loss_G: 3.8736	D(x): 0.7239	D(G(z)): 0.4053 / 0.0518
[4/20][300/434]	Loss_D: 0.9827	Loss_G: 3.2433	D(x): 0.7609	D(G(z)): 0.4467 / 0.0548
[4/20][350/434]	Loss_D: 0.5336	Loss_G: 4.2490	D(x): 0.8681	D(G(z)): 0.2885 / 0.0247
[4/20][400/434]	Loss_D: 1.1616	Loss_G: 2.9173	D(x): 0.5967	D(G(z)): 0.3543 / 0.0871
[5/20][0/434]	Loss_D: 0.9105	Loss_G: 3.8185	D(x): 0.8977	D(G(z)): 0.4718 / 0.0379
[5/20][50/434]	Loss_D: 1.9639	Loss_G: 0.7596	D(x): 0.2072	D(G(z)): 0.0466 / 0.5105
[5/20][100/434]	Loss_D: 0.8336	Loss_G: 2.3585	D(x): 0.6649	D(G(z)): 0.2773 / 0.1266
[5/20][150/434]	Loss_D: 1.2060	Loss_G: 4.1062	D(x): 0.9717	D(G(z)): 0.6324 / 0.0269
[5/20][200/434]	Loss_D: 0.8395	Loss_G: 4.4860	D(x): 0.8806	D(G(z)): 0.4544 / 0.0189
[5/20][250/434]	Loss_D: 0.8470	Loss_G: 2.4071	D(x): 0.5864	D(G(z)): 0.1693 / 0.1136
[5/20][300/434]	Loss_D: 0.9379	Loss_G: 3.8091	D(x): 0.7211	D(G(z)): 0.3944 / 0.0337
