,Accuracy,Precision,Recall,F1 Score
Apple___Apple_scab,0.9893597835888187,0.6666666666666666,0.03333333333333333,0.06349206349206349
Apple___healthy,0.9731289449954914,1.0,0.0033444816053511705,0.006666666666666666
Background_without_leaves,0.9808836789900811,0.5588235294117647,0.17272727272727273,0.2638888888888889
Blueberry___healthy,0.9670874661857529,0.15966386554621848,0.06690140845070422,0.09429280397022331
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.9904418394950406,0.0,0.0,
Corn___Common_rust,0.9769161406672678,0.4036697247706422,0.18723404255319148,0.2558139534883721
Corn___Northern_Leaf_Blight,0.9798917944093778,0.36363636363636365,0.13861386138613863,0.2007168458781362
Corn___healthy,0.9798917944093778,0.5877862595419847,0.3130081300813008,0.4084880636604774
Grape___Black_rot,0.978809738503156,0.0,0.0,
Grape___Esca_(Black_Measles),0.9697926059513075,0.20388349514563106,0.07664233576642336,0.11140583554376658
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9807033363390442,0.0,0.0,
Orange___Haunglongbing_(Citrus_greening),0.8498647430117223,0.29748603351955305,0.39262672811059907,0.3384982121573301
Peach___Bacterial_spot,0.9601442741208296,0.0,0.0,
"Pepper,_bell___Bacterial_spot",0.9804328223624887,0.0,0.0,
"Pepper,_bell___healthy",0.9722272317403066,0.25,0.009933774834437087,0.019108280254777073
Potato___Early_blight,0.9761947700631199,0.09859154929577464,0.033816425120772944,0.050359712230215826
Potato___Late_blight,0.9831379621280433,0.0,0.0,
Soybean___healthy,0.8753832281334536,0.3477112676056338,0.3812741312741313,0.3637200736648251
Squash___Powdery_mildew,0.9642921550946799,0.4166666666666667,0.16129032258064516,0.2325581395348837
Strawberry___Leaf_scorch,0.9778178539224527,0.0851063829787234,0.01932367149758454,0.031496062992125984
Tomato___Late_blight,0.9645626690712353,0.1111111111111111,0.0025906735751295338,0.005063291139240506
Tomato___Leaf_Mold,0.9729486023444545,0.11363636363636363,0.07575757575757576,0.09090909090909091
Tomato___Septoria_leaf_spot,0.9587015329125338,0.06611570247933884,0.0226628895184136,0.03375527426160338
Tomato___Target_Spot,0.9711451758340848,0.18181818181818182,0.020066889632107024,0.03614457831325302
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.44436429215509465,0.12564594714306807,0.7800183318056828,0.21642929806714142
Tomato___healthy,0.9330027051397656,0.11956521739130435,0.2043343653250774,0.15085714285714286
