True,Predicted
35,25
3,36
21,36
0,25
36,25
29,16
14,25
30,25
38,25
36,25
0,25
11,25
18,25
32,25
20,17
22,16
16,25
13,25
34,25
16,16
0,25
25,25
30,25
5,25
25,25
31,25
38,25
31,25
34,25
4,4
28,4
36,36
20,25
16,16
25,25
35,25
32,25
16,25
27,26
25,34
20,25
13,25
6,36
31,25
29,25
11,25
19,25
36,25
35,25
14,25
16,25
21,25
17,25
27,25
36,36
30,25
36,25
16,25
33,25
2,33
35,16
21,25
30,25
20,25
31,25
38,38
13,25
10,33
21,25
9,9
25,25
5,25
10,16
3,25
20,25
5,25
20,25
6,25
28,25
1,25
25,25
25,25
3,25
17,36
16,36
16,25
14,25
26,25
10,25
18,25
5,25
14,25
4,4
0,25
25,25
12,25
14,25
35,25
29,36
26,16
34,25
27,25
35,25
13,25
3,25
31,36
36,36
33,25
9,26
33,25
16,16
6,25
33,25
35,34
33,25
36,36
26,26
22,25
25,25
9,25
38,25
5,25
16,36
29,36
16,25
21,26
25,25
27,25
26,25
26,25
14,25
25,25
9,25
26,36
13,36
24,25
34,25
11,25
17,25
26,36
13,25
26,25
31,25
38,25
13,36
6,25
26,11
29,36
36,25
20,25
24,25
10,25
27,5
35,25
36,25
34,25
34,16
5,25
36,25
3,25
36,25
20,25
4,25
1,25
3,25
33,25
16,16
36,36
25,25
36,25
12,25
9,25
34,25
16,25
5,25
38,36
16,16
16,36
0,32
0,11
8,25
29,25
27,25
36,25
36,25
34,25
33,25
16,25
25,25
33,4
25,25
8,25
33,25
31,33
9,9
5,4
13,25
18,25
25,25
14,25
21,5
17,33
11,0
21,25
5,25
16,36
29,25
33,25
9,25
12,16
16,16
16,36
16,16
25,36
25,25
8,25
25,25
10,31
33,36
16,25
17,25
34,34
27,25
10,8
35,16
4,25
14,25
12,36
36,25
16,25
25,25
15,25
16,16
25,33
17,36
19,25
11,11
29,25
3,25
21,25
33,25
12,25
25,25
16,25
9,25
29,25
36,16
3,4
36,25
35,25
25,25
36,16
14,25
19,25
21,25
16,16
20,25
35,25
10,25
34,25
21,25
5,25
22,22
25,36
36,36
29,25
7,33
5,25
36,36
36,25
4,4
21,5
8,16
36,16
16,25
12,25
25,25
28,25
36,25
27,4
36,36
7,16
7,25
25,25
28,25
1,25
10,25
16,25
27,25
2,25
31,25
16,25
32,25
26,16
5,25
31,25
16,25
3,25
36,25
5,36
31,36
25,25
26,36
13,25
10,25
5,25
29,25
32,25
29,25
27,25
31,25
17,31
1,25
11,11
25,25
34,25
29,25
2,25
18,25
33,9
2,25
13,25
17,25
5,25
36,25
11,25
3,4
36,25
17,25
14,36
31,4
25,25
36,36
0,25
3,25
10,25
17,25
21,25
36,16
35,25
26,25
23,25
36,25
18,25
17,38
16,25
19,13
35,25
27,4
7,25
11,25
21,25
5,25
25,25
36,36
36,25
36,25
16,25
19,25
27,25
21,25
13,25
3,3
36,25
36,36
36,36
29,25
3,25
25,25
22,16
31,21
34,34
34,25
5,25
32,16
3,25
16,36
17,25
13,14
33,25
17,25
31,25
4,25
12,33
30,25
25,25
38,25
14,25
30,6
31,25
15,25
16,25
6,25
2,25
16,25
5,25
19,25
10,25
31,25
13,4
24,25
13,25
9,9
27,25
11,11
33,25
36,25
26,25
20,25
31,25
15,25
25,25
36,25
35,25
12,25
12,25
33,25
16,25
26,25
4,36
38,38
16,25
9,25
3,25
26,25
2,25
16,25
3,33
37,25
29,25
29,36
36,25
29,25
36,25
16,25
36,25
9,9
16,16
19,25
12,25
32,25
31,16
36,25
11,11
22,25
26,25
10,25
37,25
29,25
36,25
25,25
1,25
38,25
2,25
25,25
10,8
16,25
7,25
11,25
25,25
30,25
21,17
4,4
27,25
34,25
35,25
8,16
9,25
33,25
31,25
21,25
38,25
16,33
34,34
22,25
16,25
36,25
30,25
17,25
35,33
16,36
25,25
19,4
33,25
12,33
16,25
5,4
35,16
4,36
