,image_path,pred,label,identifier
0,Apple___Apple_scab/image (10).JPG,0,0,regular
1,Apple___Apple_scab/image (10)_marked.JPG,3,0,seg_wb
2,Apple___Apple_scab/image (104).JPG,0,0,regular
3,Apple___Apple_scab/image (104)_marked.JPG,22,0,seg_wb
4,Apple___Apple_scab/image (110).JPG,10,0,regular
5,Apple___Apple_scab/image (110)_marked.JPG,3,0,seg_wb
6,Apple___Apple_scab/image (129).JPG,32,0,regular
7,Apple___Apple_scab/image (129)_marked.JPG,0,0,seg_wb
8,Apple___Apple_scab/image (130).JPG,0,0,regular
9,Apple___Apple_scab/image (130)_marked.JPG,7,0,seg_wb
10,Apple___Apple_scab/image (138).JPG,1,0,regular
11,Apple___Apple_scab/image (138)_marked.JPG,0,0,seg_wb
12,Apple___Apple_scab/image (145).JPG,1,0,regular
13,Apple___Apple_scab/image (145)_marked.JPG,0,0,seg_wb
14,Apple___Apple_scab/image (151).JPG,0,0,regular
15,Apple___Apple_scab/image (151)_marked.JPG,3,0,seg_wb
16,Apple___Apple_scab/image (152).JPG,0,0,regular
17,Apple___Apple_scab/image (152)_marked.JPG,3,0,seg_wb
18,Apple___Apple_scab/image (153).JPG,31,0,regular
19,Apple___Apple_scab/image (153)_marked.JPG,0,0,seg_wb
20,Apple___Apple_scab/image (154).JPG,0,0,regular
21,Apple___Apple_scab/image (154)_marked.JPG,17,0,seg_wb
22,Apple___Apple_scab/image (158).JPG,0,0,regular
23,Apple___Apple_scab/image (158)_marked.JPG,29,0,seg_wb
24,Apple___Apple_scab/image (161).JPG,0,0,regular
25,Apple___Apple_scab/image (161)_marked.JPG,3,0,seg_wb
26,Apple___Apple_scab/image (162).JPG,16,0,regular
27,Apple___Apple_scab/image (162)_marked.JPG,17,0,seg_wb
28,Apple___Apple_scab/image (171).JPG,0,0,regular
29,Apple___Apple_scab/image (171)_marked.JPG,26,0,seg_wb
30,Apple___Apple_scab/image (176).JPG,0,0,regular
31,Apple___Apple_scab/image (176)_marked.JPG,29,0,seg_wb
32,Apple___Apple_scab/image (180).JPG,0,0,regular
33,Apple___Apple_scab/image (180)_marked.JPG,3,0,seg_wb
34,Apple___Apple_scab/image (185).JPG,0,0,regular
35,Apple___Apple_scab/image (185)_marked.JPG,3,0,seg_wb
36,Apple___Apple_scab/image (200).JPG,0,0,regular
37,Apple___Apple_scab/image (200)_marked.JPG,3,0,seg_wb
38,Apple___Apple_scab/image (215).JPG,0,0,regular
39,Apple___Apple_scab/image (215)_marked.JPG,31,0,seg_wb
40,Apple___Apple_scab/image (224).JPG,3,0,regular
41,Apple___Apple_scab/image (224)_marked.JPG,0,0,seg_wb
