True,Predicted
25,25
3,3
16,16
13,13
10,10
20,20
5,5
5,5
3,3
16,16
16,16
18,18
3,3
35,34
21,21
36,36
19,19
33,33
16,16
6,6
15,15
14,14
36,36
9,9
31,31
34,35
34,34
31,31
38,38
29,29
34,34
25,25
35,35
21,21
36,36
6,6
31,31
20,20
25,25
31,31
10,10
38,38
37,37
16,16
36,36
16,16
32,32
16,16
25,25
16,16
16,16
37,37
17,17
31,31
4,4
17,17
22,22
29,29
9,9
34,34
32,32
25,25
31,31
22,4
34,34
25,25
21,21
36,36
12,12
4,4
12,12
30,30
7,7
3,3
17,17
10,10
33,33
5,5
26,26
7,7
22,22
17,17
27,27
30,30
17,17
29,29
33,33
8,8
26,26
26,26
21,21
11,11
29,29
6,6
14,14
30,30
33,33
3,3
16,16
4,4
16,16
33,2
38,38
19,19
31,31
16,16
16,16
36,36
32,32
37,37
32,32
1,2
25,25
27,27
36,36
25,25
14,14
5,5
7,7
16,16
31,31
25,25
17,17
16,16
16,16
38,38
9,9
36,36
19,19
38,38
0,0
38,38
31,31
36,36
7,7
8,8
16,16
25,25
19,19
33,33
18,18
6,6
22,22
16,16
19,19
31,31
5,5
7,7
6,6
9,9
29,29
12,12
4,4
6,6
20,20
34,34
35,35
9,10
26,26
34,34
3,3
36,36
8,10
31,16
31,31
9,9
30,30
13,13
16,16
34,34
11,11
12,12
3,3
3,3
36,16
31,31
16,16
11,11
16,16
36,36
36,36
7,7
34,34
19,19
25,25
20,20
16,16
14,14
36,36
24,24
12,12
1,1
10,10
13,13
1,1
6,6
29,29
4,4
33,33
25,25
36,36
32,32
29,29
33,33
3,3
25,25
10,10
5,5
36,36
11,11
25,25
22,22
16,16
36,36
38,38
36,36
36,36
16,16
22,22
33,33
16,16
16,16
16,16
36,36
19,19
25,25
3,3
36,36
11,11
22,22
15,15
16,16
21,21
6,6
5,5
24,24
31,31
25,25
17,17
12,12
12,12
7,7
19,19
27,27
33,33
18,18
12,12
4,5
38,38
7,7
25,25
31,31
21,21
30,30
36,36
17,17
16,16
3,3
11,11
31,31
25,25
20,20
6,6
16,16
13,13
34,34
0,0
17,17
16,16
27,27
22,22
16,16
16,16
34,34
29,29
36,36
20,20
21,21
12,12
38,38
16,16
25,25
8,10
31,31
12,12
26,26
33,33
27,27
38,38
4,4
6,6
30,30
30,30
17,17
25,25
17,17
28,28
16,16
36,36
30,30
14,14
16,16
38,38
6,6
10,10
3,3
6,6
26,26
15,15
17,17
25,25
5,5
17,17
17,17
5,5
35,35
36,36
31,31
4,4
32,32
36,36
6,6
27,9
13,13
11,11
13,13
34,34
27,27
12,12
29,29
8,10
26,26
33,33
19,19
36,36
36,36
33,33
22,22
10,10
21,21
25,25
6,6
36,36
32,32
16,16
17,17
29,29
6,11
29,29
31,31
22,22
38,38
5,5
7,7
16,16
16,16
33,33
36,36
16,16
9,9
16,16
5,5
21,21
17,17
38,38
25,25
25,25
12,12
34,34
29,29
26,26
17,17
33,33
9,4
13,13
16,16
36,36
6,6
9,10
10,10
9,9
20,20
28,20
36,36
0,0
13,13
6,6
16,16
17,17
33,33
26,26
17,17
11,11
21,21
26,26
36,36
13,13
34,34
6,6
16,16
10,17
36,36
36,36
16,16
16,16
29,29
3,3
3,3
5,5
17,17
10,10
25,25
27,27
25,25
38,38
29,29
5,5
17,17
8,10
10,10
16,16
36,36
25,25
29,29
27,27
25,25
25,25
20,20
36,36
11,11
25,25
4,4
36,36
16,16
19,19
21,21
36,36
25,25
38,38
20,20
27,27
36,36
17,17
25,25
25,25
13,27
36,36
26,26
19,19
9,9
36,36
27,27
27,27
35,35
15,15
35,35
26,26
16,16
9,9
16,16
16,16
15,15
25,25
16,16
19,19
32,32
36,36
11,11
25,25
36,36
38,38
27,14
25,25
36,36
20,20
25,25
8,8
16,16
15,15
36,36
25,25
35,35
29,29
30,30
36,36
30,33
17,17
30,35
13,13
14,14
33,33
14,14
20,20
16,16
32,32
36,36
36,36
31,31
34,34
24,24
20,1
16,16
19,19
16,16
2,2
16,16
16,16
33,33
21,21
25,25
18,18
34,34
30,30
36,36
0,0
36,36
36,36
31,31
5,5
34,34
32,32
20,20
28,28
5,5
36,36
33,33
38,38
36,36
29,29
36,36
5,5
29,29
36,36
33,33
19,19
14,14
10,10
20,20
26,26
35,35
25,25
25,25
25,25
3,3
38,38
4,4
26,26
14,14
37,37
16,16
16,16
30,30
36,36
5,5
16,16
26,26
31,31
3,3
16,16
11,11
36,36
9,9
25,25
25,25
9,9
25,25
12,12
29,29
27,14
13,13
16,16
36,36
6,6
26,26
11,11
21,21
5,5
18,18
21,21
6,6
11,11
17,17
29,29
30,30
36,36
11,11
9,9
29,29
36,27
21,21
16,16
20,20
16,16
29,29
36,36
25,25
14,14
25,25
31,31
22,22
0,0
16,16
38,38
25,25
33,33
14,14
14,14
17,17
16,16
8,8
6,6
34,34
32,32
37,37
18,18
17,17
20,20
36,36
35,35
34,34
29,29
35,35
36,36
31,31
29,29
7,7
18,18
34,34
17,17
3,3
38,38
29,29
36,36
14,14
13,13
11,11
27,27
22,22
36,36
26,26
25,25
29,29
30,30
17,17
33,33
10,10
29,29
36,36
32,32
1,1
38,38
6,6
36,36
28,28
13,13
20,20
10,10
38,38
4,4
10,10
34,34
32,32
12,12
38,38
1,1
15,15
29,29
25,25
19,19
25,25
19,19
33,33
13,13
9,9
20,20
11,11
25,25
16,16
10,10
36,36
31,31
36,36
3,3
25,25
20,20
35,35
5,5
34,34
13,13
7,7
38,38
25,25
10,8
3,3
5,5
4,4
8,9
24,24
16,16
17,17
25,25
30,21
25,25
0,4
16,16
32,32
22,31
36,36
33,33
33,33
35,35
17,17
3,3
28,28
28,28
16,16
38,38
35,35
35,35
13,13
20,20
36,36
10,10
36,36
25,25
26,26
38,38
16,16
6,6
16,16
36,36
16,16
38,38
11,11
13,13
33,33
13,27
27,27
31,31
5,5
17,17
36,36
5,5
16,16
16,16
26,26
25,25
34,34
35,35
11,11
30,30
25,25
6,4
20,20
4,4
6,6
37,37
18,18
6,6
31,31
22,22
3,4
21,21
13,13
7,20
31,31
25,25
34,34
36,36
25,25
16,16
5,5
6,6
16,16
35,35
37,37
22,22
25,25
10,10
25,25
37,37
36,36
16,16
36,36
1,1
17,17
6,6
15,15
13,13
25,25
11,11
9,9
25,25
16,16
25,25
36,36
10,10
16,16
11,11
34,34
32,32
19,19
27,27
25,25
1,1
3,3
16,16
38,38
38,38
12,12
31,31
19,19
16,19
13,13
34,34
13,13
11,11
26,26
9,10
16,16
25,25
33,33
14,14
33,33
38,38
26,26
25,25
10,10
33,33
17,17
17,17
25,25
25,25
1,1
3,3
26,26
25,25
23,23
32,32
16,16
27,27
35,35
38,38
5,5
25,25
27,27
12,12
3,3
12,12
35,35
31,31
22,22
4,4
5,5
33,33
5,5
36,36
34,34
20,20
16,16
5,5
34,34
10,10
27,27
17,17
4,4
16,16
32,32
12,12
16,16
37,37
6,6
25,25
13,13
17,17
15,15
30,17
36,36
