True,Predicted
Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Grape___Black_rot,Orange___Haunglongbing_(Citrus_greening)
Blueberry___healthy,Blueberry___healthy
Blueberry___healthy,Soybean___healthy
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Bacterial_spot
Strawberry___healthy,Grape___Esca_(Black_Measles)
Soybean___healthy,Cherry___healthy
Soybean___healthy,Soybean___healthy
Tomato___Bacterial_spot,Orange___Haunglongbing_(Citrus_greening)
Tomato___Late_blight,Potato___Late_blight
Peach___Bacterial_spot,Peach___Bacterial_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Peach___healthy,Peach___healthy
Tomato___Late_blight,Soybean___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot
Orange___Haunglongbing_(Citrus_greening),Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Early_blight,Cherry___Powdery_mildew
"Pepper,_bell___healthy",Apple___healthy
"Pepper,_bell___Bacterial_spot",Corn___Northern_Leaf_Blight
Corn___Common_rust,Corn___Common_rust
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Bacterial_spot,Orange___Haunglongbing_(Citrus_greening)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Orange___Haunglongbing_(Citrus_greening)
"Pepper,_bell___Bacterial_spot","Pepper,_bell___Bacterial_spot"
Tomato___Late_blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy,Potato___Late_blight
Grape___Black_rot,Grape___Black_rot
Squash___Powdery_mildew,Corn___Northern_Leaf_Blight
Corn___Common_rust,Corn___Common_rust
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot
Orange___Haunglongbing_(Citrus_greening),Tomato___Target_Spot
Squash___Powdery_mildew,Orange___Haunglongbing_(Citrus_greening)
Tomato___Late_blight,Tomato___Late_blight
