True,Predicted
34,34
31,36
21,21
21,21
17,17
36,16
25,25
21,21
6,25
25,25
16,16
33,17
33,33
16,16
10,10
23,23
6,6
11,11
25,25
25,25
14,14
21,21
26,26
14,14
36,36
4,4
25,25
30,18
5,5
28,28
29,33
36,36
16,16
3,3
1,17
33,29
14,14
20,20
3,3
34,34
36,36
21,21
26,26
16,16
38,38
20,20
31,31
7,7
1,1
14,14
25,25
7,29
9,8
29,29
17,12
36,36
4,3
10,8
4,4
36,36
7,7
20,20
30,30
30,30
17,17
35,35
16,16
33,33
25,25
16,16
10,10
36,36
20,20
37,22
3,3
31,31
13,13
33,17
9,9
17,17
29,29
27,27
34,34
34,34
38,38
25,25
36,36
21,21
16,16
16,16
25,25
36,36
11,11
36,36
7,7
36,36
3,3
32,32
8,8
25,25
38,38
12,12
35,35
20,20
36,16
36,36
38,38
36,36
16,16
16,16
18,18
22,22
34,34
31,30
13,13
36,36
28,28
13,13
16,16
34,34
8,8
20,20
25,25
16,11
36,36
31,31
5,5
16,16
35,34
36,36
16,16
36,36
32,32
3,3
20,20
0,36
16,16
9,9
16,16
36,31
20,20
26,26
4,4
25,25
21,21
13,13
25,25
3,3
33,33
17,17
31,11
36,36
9,9
0,0
16,16
6,6
16,16
11,11
1,36
19,19
9,9
14,14
25,25
29,29
32,32
36,36
7,7
25,25
35,34
9,9
6,6
7,7
25,25
2,2
5,5
3,3
4,4
38,38
10,10
25,25
21,21
16,16
16,16
0,33
5,5
14,14
8,8
4,4
26,26
30,30
25,25
27,27
12,12
24,24
32,32
13,13
22,22
17,17
36,36
25,25
11,11
26,26
16,16
15,15
16,16
35,25
38,38
27,27
25,25
5,5
36,36
24,24
25,25
15,15
3,3
27,27
12,12
16,16
19,19
16,16
25,25
6,6
38,38
20,20
1,1
11,11
17,18
36,36
16,16
7,7
25,25
32,16
27,27
22,22
14,14
16,16
38,38
30,30
4,4
21,21
36,36
4,4
7,7
16,16
33,17
31,31
25,25
35,34
17,17
33,35
4,4
26,26
36,36
9,9
12,12
35,35
17,17
3,3
25,25
25,25
11,11
16,16
36,36
15,31
16,16
25,25
9,9
14,14
32,32
26,26
16,16
25,25
4,4
4,4
31,31
27,27
31,34
16,16
7,7
0,0
14,14
5,5
5,5
33,33
35,35
26,26
7,7
16,16
21,21
20,16
36,36
31,31
33,29
19,19
3,3
11,11
36,36
29,29
35,35
21,19
8,10
25,25
17,17
31,31
33,33
7,7
16,16
7,7
3,16
13,13
25,25
29,29
4,4
1,1
26,26
25,25
17,17
22,22
25,25
0,0
16,16
25,25
38,38
31,31
23,25
17,17
13,13
36,36
9,9
4,4
21,21
32,32
20,20
5,5
25,25
36,36
7,7
25,25
6,38
25,25
9,9
27,21
10,10
33,37
1,29
3,3
16,16
2,2
32,32
37,34
1,1
28,28
1,1
2,2
36,36
17,17
31,31
12,12
20,20
25,25
26,26
26,26
25,25
25,25
6,6
17,17
34,35
33,19
37,37
5,5
16,16
25,25
19,20
30,21
19,19
16,16
29,29
16,16
36,36
31,31
16,16
30,21
26,31
25,25
8,8
24,24
6,6
33,33
17,17
5,16
15,15
35,35
23,22
25,25
25,25
25,25
22,21
23,23
33,29
33,33
14,30
19,19
28,28
22,22
6,6
25,25
0,16
9,9
25,25
11,11
1,28
29,29
25,25
31,31
26,26
25,34
17,29
25,25
2,2
8,8
25,25
35,22
16,16
25,25
27,27
2,2
16,16
0,25
11,11
25,25
37,37
36,36
31,31
16,16
20,20
31,31
36,36
25,25
19,19
36,36
11,11
32,24
28,28
13,13
4,4
16,16
7,7
36,36
25,25
4,4
0,38
11,11
25,25
14,14
16,16
16,16
13,13
28,28
36,36
12,12
5,5
27,27
16,16
17,17
25,25
25,25
33,30
17,20
21,21
31,31
13,13
30,31
16,16
36,16
31,31
16,16
16,16
38,38
0,30
3,3
31,31
11,11
13,13
16,16
21,33
16,16
21,21
16,16
31,31
12,12
12,12
36,16
16,16
22,22
26,26
16,16
0,26
36,36
10,8
20,20
25,25
28,28
13,13
6,6
30,30
11,11
32,32
25,25
0,32
36,36
1,7
35,34
36,36
36,36
38,25
20,20
29,29
16,16
25,25
17,17
11,11
36,36
12,12
17,17
17,17
19,16
19,9
35,35
29,29
20,25
3,3
13,13
26,26
25,25
35,35
1,0
36,36
29,29
26,26
16,16
13,13
36,36
33,33
25,25
16,16
5,5
19,19
36,36
14,14
26,26
3,3
16,16
9,9
4,4
17,12
11,11
36,36
1,1
25,25
36,36
36,36
25,25
20,20
36,36
4,4
18,18
26,26
0,28
21,21
36,36
32,33
26,26
12,12
16,16
32,32
16,16
25,25
16,16
35,35
17,17
36,36
22,22
17,17
19,19
29,29
25,25
25,25
2,2
31,31
1,1
24,24
31,29
36,36
25,25
31,36
36,36
36,36
21,21
36,36
13,13
4,4
30,30
36,25
36,36
35,34
25,25
12,13
22,22
30,36
25,25
16,16
11,11
25,25
29,29
4,4
24,24
26,26
25,25
33,33
16,16
7,7
15,15
36,36
25,25
33,33
36,36
36,36
14,14
30,30
32,25
30,30
6,6
9,9
10,10
30,31
13,13
13,13
10,10
16,16
22,32
34,25
25,25
17,17
36,36
26,26
25,25
16,16
25,25
6,6
36,36
35,38
29,29
13,13
32,32
9,9
38,38
16,16
3,3
33,33
36,36
20,20
25,16
38,38
3,3
21,21
19,19
16,16
38,25
17,17
36,36
8,10
36,36
38,38
33,33
33,33
29,29
7,7
12,12
31,31
34,34
35,38
34,34
19,19
3,3
33,21
31,31
9,9
36,36
20,16
15,15
16,16
26,26
27,27
32,32
36,36
33,33
30,20
10,8
10,10
16,16
28,28
16,16
34,34
31,36
33,22
9,9
16,16
38,34
16,16
7,7
16,16
35,34
25,25
25,25
21,21
17,17
4,4
33,33
16,16
14,14
6,6
4,4
33,33
22,22
36,36
4,4
16,16
16,16
36,36
36,36
36,36
5,5
35,35
19,19
11,11
3,3
16,16
3,25
36,16
16,16
25,25
17,17
26,26
25,34
37,37
14,14
25,25
20,7
20,20
11,11
16,16
21,21
36,36
10,10
16,16
22,22
3,3
36,36
16,16
36,36
20,25
36,36
17,17
1,1
16,16
33,33
17,17
11,11
36,36
9,9
25,25
2,2
34,22
25,25
36,36
20,20
7,7
31,31
19,19
4,4
4,4
26,26
36,36
27,27
24,24
37,33
19,19
27,4
16,16
30,31
34,34
32,32
17,17
32,32
19,19
13,12
27,27
35,34
20,20
36,36
25,25
34,34
33,33
13,13
36,36
29,29
35,34
0,3
16,16
19,19
7,7
36,36
16,16
6,6
10,10
25,25
17,17
19,19
19,20
11,11
13,13
12,12
34,34
26,26
25,25
20,20
20,20
17,17
26,26
35,38
34,34
16,16
8,8
32,36
38,38
13,13
35,34
26,26
9,9
25,25
9,9
16,16
16,16
35,35
14,14
21,22
3,3
13,12
6,6
30,20
30,29
33,33
32,32
30,31
38,38
19,19
36,36
5,5
6,6
38,26
36,36
11,11
27,27
5,5
13,13
10,10
0,0
11,11
13,13
29,29
6,6
15,15
36,36
16,16
25,25
29,29
17,17
36,36
14,15
21,21
29,22
36,36
5,5
19,19
33,33
3,3
25,25
0,0
37,32
1,1
29,29
19,19
27,27
4,4
3,25
12,12
19,19
22,22
31,32
1,1
13,13
12,12
5,5
25,25
25,25
19,19
32,32
34,34
36,36
21,21
17,17
36,36
11,11
36,36
14,14
6,6
8,8
16,16
6,36
18,18
12,12
36,36
16,16
7,7
13,13
26,26
16,16
17,17
27,27
14,14
38,38
25,25
16,16
22,22
31,22
29,29
29,30
6,6
4,4
36,36
36,36
35,38
22,22
17,17
38,38
25,25
26,26
29,29
10,10
29,29
30,35
31,31
16,16
19,19
33,21
33,33
22,5
10,9
26,26
26,26
28,28
34,34
36,36
33,33
16,16
29,29
28,28
13,13
25,38
38,38
38,38
16,16
25,25
34,34
25,25
25,25
16,16
36,36
36,36
28,28
16,16
38,38
13,13
25,25
16,16
33,17
12,12
16,16
5,5
27,12
4,4
31,31
25,25
30,30
26,26
16,16
17,17
14,14
31,31
34,34
36,36
7,7
25,25
4,4
36,36
33,33
25,25
9,9
11,11
35,35
9,9
26,26
5,5
29,25
12,12
21,21
4,4
14,14
16,16
35,34
25,25
34,34
38,25
34,29
26,26
31,34
25,25
20,20
3,0
3,3
16,16
36,36
17,13
31,31
25,25
17,17
34,34
10,10
25,25
20,20
6,6
20,20
29,29
26,26
26,26
29,29
22,36
27,27
20,20
36,36
5,5
4,4
36,36
16,16
16,16
26,28
33,33
36,36
35,33
4,4
20,20
34,34
30,31
7,7
16,16
13,13
22,31
1,1
25,25
29,29
1,17
2,2
36,36
22,22
19,19
25,25
35,34
25,25
36,36
20,20
25,25
25,25
3,3
6,6
19,19
25,25
38,38
17,17
12,12
3,3
27,27
38,38
36,36
30,31
36,36
0,3
25,25
33,33
11,11
16,16
16,16
30,31
16,16
13,13
17,17
36,36
8,8
36,29
25,25
26,26
16,16
16,16
25,25
33,33
16,16
21,21
30,30
16,16
25,25
22,22
30,29
1,6
16,16
31,28
32,32
3,3
3,3
9,9
25,25
