True,Predicted
16,16
30,36
16,36
20,25
16,36
13,36
13,13
6,6
32,36
36,36
38,38
3,32
16,16
26,26
20,20
13,13
36,36
27,34
17,17
9,19
36,36
36,36
16,36
20,1
20,33
5,33
29,36
33,36
30,33
29,36
36,36
36,36
13,36
26,26
16,36
27,36
4,4
16,36
9,1
26,11
36,36
11,11
25,33
36,16
21,36
25,25
26,33
34,33
31,25
33,34
9,11
10,36
14,36
17,17
6,36
17,36
35,33
6,36
13,25
30,34
16,16
12,36
34,36
19,36
36,36
38,36
11,36
28,33
38,36
15,36
32,36
16,36
31,35
31,36
33,33
10,36
16,33
1,1
8,8
5,36
16,36
37,33
1,19
35,33
35,36
16,16
20,16
38,36
27,36
9,36
36,36
29,36
3,36
36,36
5,36
34,36
3,36
5,36
29,16
5,36
38,17
19,34
33,7
36,36
13,36
25,1
16,31
25,20
29,36
16,16
22,22
3,17
29,36
25,25
35,36
5,36
4,36
31,36
34,36
4,36
12,36
38,36
4,4
11,36
31,32
32,34
25,36
3,36
37,36
16,16
2,36
14,36
5,36
25,25
14,36
11,36
3,36
36,36
20,7
17,36
16,16
6,36
4,4
7,25
34,36
25,36
36,36
25,36
26,36
33,1
6,16
21,36
16,36
37,37
6,36
4,4
29,36
7,7
13,36
16,16
30,36
16,16
26,36
25,25
29,36
26,36
38,36
9,1
14,36
25,36
12,13
25,36
6,36
9,36
17,17
8,36
7,25
34,36
16,36
15,36
11,36
12,36
3,36
25,36
36,36
36,36
12,36
32,36
32,36
14,16
11,36
32,36
36,36
18,25
3,36
17,16
16,36
28,33
0,36
16,16
36,36
3,32
27,36
16,36
3,3
16,36
5,36
28,36
38,38
34,36
25,36
36,36
26,36
1,1
13,36
12,16
25,36
16,16
33,36
2,36
8,8
35,35
22,36
36,36
36,36
16,16
32,36
11,16
3,36
0,17
6,36
0,36
9,27
12,36
17,36
17,36
21,32
0,32
16,36
10,8
7,7
11,36
17,36
16,36
30,36
6,36
34,36
31,32
25,33
16,36
34,36
25,36
16,36
36,16
16,16
25,36
16,16
14,36
25,25
38,38
17,36
22,36
15,36
3,16
6,33
17,36
35,35
36,36
36,36
17,36
36,36
16,36
19,36
19,36
36,36
37,33
5,5
17,17
36,36
5,36
11,36
38,36
36,36
25,36
29,36
16,36
16,36
17,17
31,36
16,16
6,17
20,33
25,25
31,36
22,36
25,36
12,13
16,36
36,36
16,36
13,36
16,36
25,17
25,25
30,36
16,16
3,32
26,36
38,13
7,36
15,36
20,36
25,25
5,36
21,36
20,36
25,25
36,36
25,36
34,36
31,17
16,16
36,36
21,36
31,25
2,36
12,33
29,36
26,36
25,36
38,36
25,25
36,36
9,9
30,31
14,36
10,36
36,36
25,25
26,26
29,36
16,36
31,36
19,36
16,37
9,9
7,25
25,25
35,36
26,36
7,7
1,36
10,26
26,32
16,16
31,36
17,17
16,36
38,36
29,16
16,16
34,36
38,33
6,36
35,35
26,36
16,36
36,16
9,9
31,17
19,36
11,36
5,25
38,38
3,25
26,26
22,32
26,36
32,32
11,11
36,36
22,36
7,7
31,36
34,36
20,36
7,36
35,25
31,36
19,36
6,22
9,10
35,36
36,36
36,16
25,36
5,36
4,4
25,36
36,36
33,25
16,36
36,36
9,36
16,36
34,36
16,36
17,36
22,32
17,36
17,36
10,1
34,36
25,25
16,36
13,36
15,36
32,32
5,36
21,36
31,36
35,34
35,36
36,16
1,36
32,36
36,36
16,16
13,36
34,36
38,36
16,36
16,36
10,8
6,36
9,17
35,35
34,36
36,36
29,36
3,17
34,36
10,7
36,36
36,36
36,36
29,36
16,36
3,17
27,27
15,25
17,16
30,36
25,36
12,13
30,36
12,36
34,36
38,34
13,36
36,36
36,36
36,36
14,36
1,19
13,36
18,36
16,36
29,36
36,36
5,25
36,36
17,36
5,36
11,11
25,25
31,36
5,37
26,36
33,36
34,36
34,36
31,36
19,36
17,36
25,25
20,36
29,36
14,16
10,10
26,26
25,16
16,36
16,36
25,36
17,17
25,25
5,25
10,11
11,11
13,13
38,36
26,17
16,36
21,36
9,17
16,16
36,16
25,25
7,7
26,36
36,36
11,36
4,11
29,36
36,36
25,36
16,16
17,36
28,36
16,36
20,25
17,36
25,33
30,36
29,36
21,30
5,36
1,36
18,36
22,36
36,36
11,11
25,33
16,36
10,36
25,36
6,36
11,11
25,25
35,35
20,25
16,36
27,1
6,16
0,16
30,36
12,36
36,36
25,36
37,33
36,36
35,36
0,37
30,17
38,34
35,36
35,35
38,30
29,36
36,36
25,36
34,36
6,33
16,36
17,36
36,36
25,36
36,36
10,17
16,16
34,35
33,36
33,36
25,33
31,36
26,36
25,25
31,36
27,36
16,36
4,4
31,36
17,36
5,36
11,11
31,7
6,36
34,36
17,36
7,36
35,36
30,30
18,36
25,25
21,32
6,36
17,36
8,36
25,36
36,36
5,32
20,36
33,33
30,31
4,36
16,16
16,36
30,36
3,25
38,36
16,36
32,36
16,16
27,27
16,16
38,36
17,36
16,16
36,36
25,25
24,36
30,17
6,36
16,36
36,36
12,36
17,7
9,36
35,36
16,36
19,36
25,36
21,36
5,36
16,36
36,36
26,36
29,36
13,36
34,33
11,11
31,36
11,36
26,36
27,27
7,30
17,17
20,7
30,36
17,36
14,36
19,36
36,36
16,36
13,36
30,36
3,36
36,36
3,36
38,38
25,25
36,36
31,36
11,36
36,36
17,17
29,36
3,36
6,36
36,36
8,17
17,36
16,36
9,8
31,16
36,36
17,36
31,31
36,16
36,36
7,36
27,25
16,36
3,17
38,36
11,11
8,31
7,36
16,36
21,36
32,36
33,33
31,36
16,36
36,36
33,33
25,36
16,16
38,38
7,36
36,36
0,0
26,26
16,36
11,11
31,31
25,36
11,11
9,36
16,36
29,36
24,36
11,36
16,36
17,36
38,38
21,36
15,36
30,35
13,36
25,36
12,12
22,36
20,25
4,4
7,36
14,36
16,36
9,11
17,36
3,36
16,36
32,36
16,36
5,33
30,13
33,36
6,36
17,36
1,1
5,36
25,33
26,17
16,36
0,36
29,36
16,36
36,36
5,33
36,36
32,36
22,36
12,36
30,36
5,32
31,36
6,16
16,16
32,36
38,38
35,30
16,16
8,36
17,36
21,36
11,11
38,36
13,13
34,36
7,36
28,37
12,36
25,36
29,36
3,32
11,36
36,36
0,36
11,11
6,36
16,16
3,36
22,33
26,0
21,36
14,36
34,36
17,17
22,36
16,36
12,36
33,36
25,25
16,36
10,36
36,36
4,31
33,36
16,36
30,36
22,36
33,36
38,36
25,25
25,25
3,36
16,36
26,26
31,17
16,36
18,36
17,17
35,35
30,36
17,36
13,17
36,36
25,25
