True,Predicted
20,20
22,22
33,33
37,37
38,38
31,31
22,22
13,13
25,25
36,36
35,30
29,29
35,35
6,6
12,12
29,29
25,25
31,31
16,16
16,16
32,32
38,38
25,25
13,13
25,25
36,36
3,3
14,14
32,32
32,32
21,21
8,8
8,8
19,19
4,4
12,12
9,9
6,6
25,25
31,31
36,36
36,36
21,21
36,36
26,26
31,31
32,32
25,25
25,25
13,13
20,20
17,17
17,17
33,33
27,27
5,5
38,38
21,21
0,0
33,33
27,27
22,22
36,36
32,32
36,36
25,25
4,4
16,16
36,36
38,38
30,31
25,25
17,17
29,29
31,31
6,6
26,26
33,33
26,26
35,35
25,25
19,19
25,25
26,26
7,7
13,13
7,7
29,29
25,25
25,25
11,11
25,25
27,27
17,17
17,17
36,36
36,36
36,36
9,9
4,4
36,36
12,12
19,19
16,16
16,16
36,36
18,18
10,10
25,25
16,16
36,36
17,17
33,33
25,25
34,34
4,4
37,37
34,34
15,15
25,25
8,8
29,29
25,25
5,5
36,36
17,17
26,26
0,0
16,16
13,13
13,13
22,22
21,21
0,0
17,17
6,6
3,3
10,10
3,3
20,20
9,9
31,31
19,19
16,16
31,31
16,16
16,16
3,3
29,29
7,7
26,26
20,20
14,14
16,16
16,16
17,17
21,21
16,16
29,29
36,36
29,29
13,30
20,20
13,13
26,26
3,3
20,20
25,25
22,22
16,16
22,22
36,36
25,25
25,25
20,20
21,21
17,17
12,12
9,9
38,38
38,38
8,10
26,26
14,14
10,10
25,25
5,5
27,27
6,6
32,32
29,29
37,37
34,34
17,17
3,3
29,29
6,6
7,7
35,35
30,30
36,36
20,20
4,4
31,31
12,12
25,25
9,9
22,22
9,9
27,27
8,8
1,1
6,6
25,25
36,36
7,7
4,4
38,38
13,13
24,24
25,25
36,36
0,0
14,14
16,16
33,33
31,31
26,26
25,25
27,27
37,37
4,4
36,36
21,21
8,8
6,6
25,25
2,2
26,26
16,16
4,4
26,26
22,22
36,36
38,38
35,35
38,38
4,4
20,20
35,35
22,22
25,25
25,25
26,26
17,17
5,5
31,31
28,28
4,4
29,29
13,12
22,22
16,16
36,36
22,3
35,35
16,16
35,35
16,16
7,7
35,35
6,6
11,11
16,16
17,17
36,36
27,27
30,30
17,17
36,36
3,3
20,20
25,25
31,31
20,20
17,17
20,20
33,33
18,18
21,21
29,29
29,29
38,38
10,10
35,35
16,16
26,26
21,21
36,36
34,34
36,36
17,17
34,34
25,25
26,26
16,17
16,16
30,30
29,29
25,25
12,12
34,34
14,14
13,13
5,5
4,4
7,7
17,17
0,0
32,32
29,29
16,16
26,26
17,17
16,16
16,16
7,7
16,16
16,16
31,31
7,7
33,33
30,30
22,22
27,27
30,30
36,36
6,6
16,16
20,20
36,36
29,29
17,17
17,17
16,16
26,26
38,38
32,32
17,17
3,3
25,25
11,11
16,16
20,20
26,26
7,7
19,19
25,25
9,9
1,1
16,16
21,21
34,34
1,1
20,20
16,16
7,7
25,25
3,3
4,4
25,25
10,10
17,17
0,0
25,25
25,25
19,19
15,15
33,33
24,24
4,4
26,26
15,15
5,5
14,14
26,26
1,1
29,29
16,16
31,31
18,18
33,33
36,36
31,31
25,25
36,36
36,36
3,3
17,17
32,32
17,17
17,17
32,32
10,10
29,29
22,22
16,16
36,36
24,24
36,36
36,36
11,11
22,22
16,16
20,20
16,16
8,8
16,16
25,25
4,4
36,36
32,32
16,16
33,33
2,2
34,34
4,31
29,29
36,36
25,25
7,7
36,36
38,38
12,12
27,27
31,31
21,21
8,8
16,16
27,27
16,16
25,25
16,16
14,14
6,6
29,29
16,16
30,30
11,11
29,29
25,25
10,10
30,30
17,17
25,25
34,34
19,19
16,16
36,36
30,30
25,25
4,4
26,26
20,20
22,22
17,17
36,36
17,17
29,29
38,38
33,33
11,11
36,36
13,13
3,3
11,11
4,4
32,32
31,31
25,25
36,36
31,31
22,22
25,25
35,31
33,33
38,38
36,36
16,16
0,0
34,34
32,32
36,36
3,3
38,38
19,19
18,18
36,36
16,16
27,27
7,7
13,13
11,11
21,21
16,16
36,36
34,34
13,13
36,36
16,16
11,11
36,36
36,36
14,14
9,9
36,36
12,12
14,14
35,35
5,5
27,27
35,35
7,7
36,36
36,36
17,17
25,25
24,24
25,25
1,1
37,37
29,29
27,27
26,26
37,37
35,35
21,21
34,34
3,3
11,11
11,20
36,36
34,34
25,25
17,17
9,31
28,28
35,35
25,25
31,31
32,32
13,13
36,36
4,4
17,17
24,24
25,25
9,9
35,35
24,24
27,27
36,36
35,35
16,16
