True,Predicted
17,17
3,25
22,22
13,13
36,36
16,16
18,18
12,12
21,21
25,25
25,25
36,36
36,36
33,33
26,26
26,26
36,36
30,29
16,16
22,31
36,36
38,38
24,24
7,7
31,31
29,29
19,19
12,31
36,36
32,31
3,3
6,6
33,33
25,25
16,16
28,28
31,30
6,16
5,5
16,16
12,12
25,25
16,16
31,31
11,11
25,25
17,17
34,34
22,21
36,36
35,35
38,38
36,36
32,7
11,11
29,36
16,16
22,22
11,11
31,31
32,31
29,29
26,26
32,34
36,36
31,31
12,12
12,12
16,16
29,29
12,12
19,19
29,29
22,22
11,11
36,36
31,30
36,36
3,3
36,7
28,28
30,30
9,9
27,27
31,31
29,31
19,19
36,36
17,17
16,16
17,17
35,35
13,13
16,16
13,13
36,36
25,25
17,17
36,36
14,14
14,14
36,36
8,8
12,1
29,29
12,12
34,34
29,29
29,29
5,5
26,26
25,25
12,12
36,36
24,24
36,36
3,3
36,36
26,26
7,7
25,25
9,9
3,3
22,22
25,25
13,13
30,29
32,32
12,12
36,36
12,12
11,11
25,25
11,11
31,32
13,13
34,34
19,19
0,0
21,22
21,21
36,36
16,16
29,29
5,5
25,20
25,25
5,5
17,17
29,29
38,38
38,38
17,17
25,25
36,36
25,25
26,26
36,36
28,24
27,27
26,26
16,16
10,10
12,12
34,34
38,38
16,16
9,9
2,2
16,16
25,26
11,11
16,16
36,36
32,29
21,21
19,19
16,16
29,29
17,17
36,36
17,17
5,5
14,14
14,14
17,17
22,22
16,16
36,36
11,11
17,17
38,38
16,16
12,12
7,7
20,20
10,10
35,35
22,27
25,25
19,19
25,25
16,16
34,34
9,8
2,2
25,25
38,38
16,16
31,31
16,16
19,19
25,25
17,17
18,18
31,31
37,26
25,25
11,11
27,27
31,31
35,35
38,38
16,16
38,38
38,38
11,11
36,36
31,12
13,13
21,21
25,25
0,3
7,7
4,4
16,16
34,34
13,13
16,16
22,22
5,5
30,35
17,17
9,9
36,36
35,35
32,32
13,13
17,17
3,3
11,11
19,19
9,9
25,25
36,36
17,17
36,36
16,16
30,29
16,16
0,0
27,27
38,38
15,15
25,25
4,4
38,38
25,25
26,26
1,1
26,26
13,13
36,36
38,38
34,34
20,20
2,2
38,38
9,9
36,36
3,3
20,20
12,12
31,31
12,12
22,31
16,16
36,34
2,2
36,36
26,26
13,13
17,19
35,29
17,17
4,4
12,12
16,16
36,36
19,19
36,36
16,16
35,38
16,16
19,19
16,16
31,31
35,35
16,16
11,11
30,22
21,21
0,0
33,36
26,26
33,33
26,26
3,3
38,38
24,24
15,20
9,9
9,9
0,0
26,26
30,29
33,33
25,25
31,31
16,16
10,10
36,36
36,36
32,32
17,29
25,25
17,17
9,9
38,38
17,17
25,25
33,30
25,25
36,36
16,16
9,9
38,38
26,26
5,5
7,7
36,36
25,25
35,35
36,36
29,25
33,33
16,16
33,33
25,25
25,25
19,19
8,8
6,6
14,14
6,6
38,38
30,30
10,10
25,25
25,25
34,34
11,11
30,19
4,4
21,21
29,27
36,36
35,35
9,9
31,22
38,38
15,15
17,16
25,25
35,34
26,26
13,13
16,16
20,20
30,30
12,12
33,33
36,36
35,18
20,20
37,31
21,21
16,16
16,16
19,19
14,14
16,16
13,13
6,6
10,10
31,31
26,26
26,26
22,22
31,30
38,38
33,30
6,6
30,30
26,26
16,16
36,34
9,9
25,25
13,13
16,16
25,25
36,36
33,33
16,16
35,35
23,34
20,20
3,3
14,14
16,16
13,5
21,21
3,3
9,9
5,5
16,16
3,3
6,6
16,16
25,25
11,11
16,16
36,36
29,29
25,25
16,16
17,17
36,34
17,17
17,17
36,36
28,11
14,14
36,36
38,38
25,25
11,11
26,26
3,3
27,27
21,22
29,29
27,27
11,11
25,25
7,7
16,16
7,7
30,30
25,25
31,31
29,29
22,31
38,38
12,12
36,36
5,5
34,34
25,25
5,5
30,17
19,19
30,30
30,19
31,31
3,3
16,16
33,33
17,17
14,14
4,4
34,35
17,18
15,15
33,33
10,8
36,36
12,12
14,14
25,20
3,3
13,13
31,31
33,33
30,31
38,38
17,17
36,36
32,32
16,25
16,16
36,36
26,26
16,16
25,25
5,5
21,21
19,19
34,34
11,11
7,7
18,25
38,38
9,9
6,6
21,21
15,15
33,34
38,38
17,17
20,20
19,20
27,27
16,16
35,35
