names,klass,batch
image (92).JPG,Tomato___Leaf_Mold,batch_0001
image (1244).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (3281).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (1420).JPG,Tomato___Late_blight,batch_0001
image (899).JPG,Soybean___healthy,batch_0001
image (452).JPG,Cherry___healthy,batch_0001
image (1195).JPG,Peach___Bacterial_spot,batch_0001
image (1086).JPG,Corn___Common_rust,batch_0001
image (1413).JPG,"Pepper,_bell___healthy",batch_0001
image (290).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (966).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (523).JPG,Tomato___Leaf_Mold,batch_0001
image (87).JPG,Apple___Apple_scab,batch_0001
image (684).JPG,Squash___Powdery_mildew,batch_0001
image (756).JPG,Apple___healthy,batch_0001
image (744).JPG,Apple___healthy,batch_0001
image (1337).JPG,Tomato___Bacterial_spot,batch_0001
image (1265).JPG,Grape___Esca_(Black_Measles),batch_0001
image (481).JPG,Tomato___Target_Spot,batch_0001
image (545).jpg,Corn___healthy,batch_0001
image (1807).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (907).JPG,Potato___Early_blight,batch_0001
image (815).JPG,Apple___healthy,batch_0001
image (17).JPG,Squash___Powdery_mildew,batch_0001
image (221).JPG,Tomato___Leaf_Mold,batch_0001
image (735).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (25).JPG,Tomato___Early_blight,batch_0001
image (533).JPG,Corn___Common_rust,batch_0001
image (991).JPG,Tomato___healthy,batch_0001
image (573).JPG,Blueberry___healthy,batch_0001
image (1889).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (487).JPG,Blueberry___healthy,batch_0001
image (5337).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (273).JPG,Tomato___Leaf_Mold,batch_0001
image (325).JPG,Potato___Early_blight,batch_0001
image (1025).JPG,Soybean___healthy,batch_0001
image (1188).JPG,Peach___Bacterial_spot,batch_0001
image (531).JPG,"Pepper,_bell___healthy",batch_0001
image (1604).JPG,Soybean___healthy,batch_0001
image (298).JPG,Tomato___Target_Spot,batch_0001
image (346).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (830).jpg,Background_without_leaves,batch_0001
image (1663).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (5060).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (3018).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (2896).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (25).JPG,Apple___healthy,batch_0001
image (84).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (5295).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (909).JPG,Soybean___healthy,batch_0001
image (1420).JPG,"Pepper,_bell___healthy",batch_0001
image (506).JPG,Corn___Northern_Leaf_Blight,batch_0001
image (988).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (110).JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),batch_0001
image (790).JPG,"Pepper,_bell___Bacterial_spot",batch_0001
image (5).JPG,Cherry___healthy,batch_0001
image (279).JPG,Tomato___Tomato_mosaic_virus,batch_0001
image (1496).JPG,Tomato___Late_blight,batch_0001
image (887).JPG,Peach___Bacterial_spot,batch_0001
image (4943).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (347).jpg,Corn___healthy,batch_0001
image (3526).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (746).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (657).JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),batch_0001
image (274).jpg,Corn___healthy,batch_0001
image (976).JPG,Squash___Powdery_mildew,batch_0001
image (200).JPG,Apple___Black_rot,batch_0001
image (3088).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (383).JPG,Apple___Black_rot,batch_0001
image (1237).JPG,Tomato___Late_blight,batch_0001
image (896).JPG,Corn___Common_rust,batch_0001
image (453).JPG,Tomato___healthy,batch_0001
image (65).JPG,Tomato___Late_blight,batch_0001
image (642).JPG,Peach___Bacterial_spot,batch_0001
image (265).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (554).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (3808).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (5383).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (932).jpg,Background_without_leaves,batch_0001
image (965).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (443).JPG,Apple___healthy,batch_0001
image (1040).JPG,Tomato___Target_Spot,batch_0001
image (647).JPG,Tomato___Target_Spot,batch_0001
