names,x,y,pred,correct_label,batch,manual_label,colors,custom_data,x2,y2,x3,y3,D1,D4,D7,thumbnails
image (383).JPG,-52.63015143039262,-13.678413935409145,6,6,batch_0005,6,7,0,0,0,0,0,0,0,0,image (383).JPG
image (383).JPG,-52.63015143039262,-13.678413935409145,6,6,batch_0005,6,7,1,0,0,0,0,0,0,0,image (383).JPG
image (383).JPG,-52.63015143039262,-13.678413935409145,6,6,batch_0005,6,7,2,0,0,0,0,0,0,0,image (383).JPG
image (383).JPG,-52.63015143039262,-13.678413935409145,6,6,batch_0005,6,7,3,0,0,0,0,0,0,0,image (383).JPG
image (383).JPG,-52.63015143039262,-13.678413935409145,6,6,batch_0005,6,7,4,0,0,0,0,0,0,0,image (383).JPG
image (383).JPG,-52.63015143039262,-13.678413935409145,6,6,batch_0005,6,7,5,0,0,0,0,0,0,0,image (383).JPG
image (383).JPG,-52.63015143039262,-13.678413935409145,6,6,batch_0005,6,7,6,0,0,0,0,0,0,0,image (383).JPG
image (1049).jpg,-17.60541037111708,-49.29495021099649,29,29,batch_0005,29,30,7,0,0,0,0,0,0,0,image (1049).jpg
image (4200).JPG,-48.81479896347696,16.776454881534235,16,16,batch_0005,16,17,8,0,0,0,0,0,0,0,image (4200).JPG
image (2397).JPG,45.432727760181,-19.212720311319984,6,6,batch_0005,6,7,9,0,0,0,0,0,0,0,image (2397).JPG
image (4364).JPG,-38.97978930050776,5.053650572710506,16,16,batch_0005,16,17,10,0,0,0,0,0,0,0,image (4364).JPG
image (3305).JPG,-15.721680825245944,23.00947175611105,16,16,batch_0005,16,17,11,0,0,0,0,0,0,0,image (3305).JPG
image (1354).JPG,-51.60290092646618,-1.9030396982296829,6,6,batch_0005,6,7,12,0,0,0,0,0,0,0,image (1354).JPG
image (2).JPG,-10.67972297972931,-59.138727774602046,2,2,batch_0005,2,3,13,0,0,0,0,0,0,0,image (2).JPG
image (2).JPG,-10.67972297972931,-59.138727774602046,2,2,batch_0005,2,3,14,0,0,0,0,0,0,0,image (2).JPG
image (2).JPG,-10.67972297972931,-59.138727774602046,2,2,batch_0005,2,3,15,0,0,0,0,0,0,0,image (2).JPG
image (2).JPG,-10.67972297972931,-59.138727774602046,2,2,batch_0005,2,3,16,0,0,0,0,0,0,0,image (2).JPG
image (2).JPG,-10.67972297972931,-59.138727774602046,2,2,batch_0005,2,3,17,0,0,0,0,0,0,0,image (2).JPG
image (2).JPG,-10.67972297972931,-59.138727774602046,2,2,batch_0005,2,3,18,0,0,0,0,0,0,0,image (2).JPG
image (2).JPG,-10.67972297972931,-59.138727774602046,2,2,batch_0005,2,3,19,0,0,0,0,0,0,0,image (2).JPG
image (2).JPG,-10.67972297972931,-59.138727774602046,2,2,batch_0005,2,3,20,0,0,0,0,0,0,0,image (2).JPG
image (100).JPG,34.814679480124376,16.562794384758444,2,2,batch_0005,2,3,21,0,0,0,0,0,0,0,image (100).JPG
image (100).JPG,34.814679480124376,16.562794384758444,2,2,batch_0005,2,3,22,0,0,0,0,0,0,0,image (100).JPG
image (100).JPG,34.814679480124376,16.562794384758444,2,2,batch_0005,2,3,23,0,0,0,0,0,0,0,image (100).JPG
image (100).JPG,34.814679480124376,16.562794384758444,2,2,batch_0005,2,3,24,0,0,0,0,0,0,0,image (100).JPG
image (100).JPG,34.814679480124376,16.562794384758444,2,2,batch_0005,2,3,25,0,0,0,0,0,0,0,image (100).JPG
image (3186).JPG,7.1496583178683775,3.763240319653442,6,6,batch_0005,6,7,26,0,0,0,0,0,0,0,image (3186).JPG
image (5175).JPG,-8.809279101789217,41.962143124294506,2,2,batch_0005,2,3,27,0,0,0,0,0,0,0,image (5175).JPG
image (4673).JPG,34.24105649941642,-14.380000808725372,6,6,batch_0005,6,7,28,0,0,0,0,0,0,0,image (4673).JPG
image (1727).JPG,-6.87834374621478,-3.008451082222184,2,2,batch_0005,2,3,29,0,0,0,0,0,0,0,image (1727).JPG
