image_path,x,y,pred,label
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (103)_marked.JPG,7.955304030113529,6.055236643594718,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (113)_marked.JPG,4.729112241047882,6.2205539170499105,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (123)_marked.JPG,7.020350408092065,6.187245553351543,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (133)_marked.JPG,8.216965364179579,7.227189143566704,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (141)_marked.JPG,4.529424966888761,6.044198450732227,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (15)_marked.JPG,8.204655453051299,6.0693338029657085,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (151)_marked.JPG,8.038245387438101,6.037257395000621,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (161)_marked.JPG,8.072206934822177,6.958141679808374,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (171)_marked.JPG,8.558942778087527,6.932171421339226,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (185)_marked.JPG,8.01203412552806,7.614514050136206,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (195)_marked.JPG,8.881244023101548,5.777945117772748,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (206)_marked.JPG,8.934630439003445,5.652236411138512,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (209)_marked.JPG,8.026922451744243,6.641295336698025,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (216)_marked.JPG,8.556818941161202,6.7756209069440905,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (219)_marked.JPG,8.103403360694179,6.412149907182922,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (226)_marked.JPG,8.15584176247767,6.330376148016944,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (229)_marked.JPG,6.073232707465617,9.480474402100253,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (236)_marked.JPG,8.251261943429371,6.793334124708923,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (239)_marked.JPG,7.331337761314227,6.978583238270598,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (244)_marked.JPG,5.9916288088347285,9.522943386460353,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (25)_marked.JPG,8.070447652318531,7.592310479452436,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented/images/batch_0008/Apple___Apple_scab/image (254)_marked.JPG,8.060624617651245,6.405035015594156,0,0
