image_path,x,y,pred,label
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (102)_marked.JPG,-25.772654174418417,37.60633689269658,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (11)_marked.JPG,-26.760756717914024,37.857195249692495,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (112)_marked.JPG,-27.05477216411613,37.83640397380468,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (122)_marked.JPG,-28.270514214018778,40.602154559856764,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (132)_marked.JPG,-27.763830110445564,38.44103356494628,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (140)_marked.JPG,-26.99797415669359,38.57028951757793,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (146)_marked.JPG,-27.152978920270126,37.96374494012306,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (150)_marked.JPG,-27.441523863040796,40.38882037191284,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (160)_marked.JPG,-31.453399104079494,39.42495585118319,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (170)_marked.JPG,-27.350000388215626,38.33603140810356,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (184)_marked.JPG,-29.48355924815511,36.46060384919386,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (194)_marked.JPG,-27.12887069736589,38.799504578206715,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (207)_marked.JPG,-26.953479133652788,38.87453365583809,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (208)_marked.JPG,-30.949963175389353,39.34884337008936,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (21)_marked.JPG,-31.524071771464875,39.724086965808226,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (217)_marked.JPG,-31.524524969404524,39.84930614956235,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (218)_marked.JPG,-30.681469963063147,38.971817528407186,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (227)_marked.JPG,-25.58770761019521,39.15632837745999,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (228)_marked.JPG,-31.405177200614837,39.854711398097365,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (237)_marked.JPG,-27.030208864364134,38.01869907628385,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (238)_marked.JPG,-31.03307911655949,39.3208207326976,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (245)_marked.JPG,-27.326001012374864,38.24174845102892,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (255)_marked.JPG,-27.13347139266033,37.68033803761039,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (265)_marked.JPG,-31.2857149991109,37.80217247202456,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (275)_marked.JPG,-31.029368722920683,39.34213485545373,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (281)_marked.JPG,-25.774561233030873,39.10640848219294,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (291)_marked.JPG,-31.900942986913236,38.09846145805147,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (304)_marked.JPG,-31.69124377996224,35.81215891961907,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (31)_marked.JPG,-27.025609119576266,37.92177367137623,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (314)_marked.JPG,-27.03276920999753,37.14485385499746,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (324)_marked.JPG,-31.488435386113718,39.98941185526023,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (329)_marked.JPG,-28.842428717896176,40.229732273348,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (332)_marked.JPG,-29.790157777090243,40.44279939600049,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (334)_marked.JPG,-29.746360924961692,39.096501637502556,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (346)_marked.JPG,-25.86430921041272,39.06777887414073,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (349)_marked.JPG,-26.813863555378074,38.01124787642138,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (356)_marked.JPG,-31.861363176245398,35.871112962358545,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (359)_marked.JPG,-31.534362577922078,39.37566586785619,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (366)_marked.JPG,-29.496098243810657,36.463331935710784,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (369)_marked.JPG,-29.442672841992923,40.15289885160013,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (376)_marked.JPG,-31.477520631377104,39.590455662883684,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (379)_marked.JPG,-28.87201202835817,40.15076077638322,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (382)_marked.JPG,-12.933950633300714,36.10296547101659,12,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (392)_marked.JPG,-31.135725112845027,39.27415030797631,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (4)_marked.JPG,-43.24190711465621,27.858776587798054,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (402)_marked.JPG,-28.09921135902041,38.98488679009728,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (412)_marked.JPG,-26.145827079155875,39.794756766227906,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (422)_marked.JPG,-26.60437415304934,39.12259993771502,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (43)_marked.JPG,-27.30290014266348,37.71561141030944,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (432)_marked.JPG,-27.010153074830043,40.23655615562186,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (440)_marked.JPG,-26.349049111728043,38.79235409612009,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (450)_marked.JPG,-28.282676450229797,39.986243193989495,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (460)_marked.JPG,-26.996096356802894,38.773927240089535,0,0
/home/heitorc62/PlantsConv/Plants-ConvNets-ViT/t-SNE/results/segmented_wb/images/batch_0003/Apple___Apple_scab/image (470)_marked.JPG,-25.710259615648592,39.58301734083713,0,0
